536365,2010-01-12 08:26:00,Debit Card,17850,NULL
536366,2010-01-12 08:28:00,Credit Card,17850,NULL
536367,2010-01-12 08:34:00,E-wallet,13047,NULL
536368,2010-01-12 08:34:00,E-wallet,13047,NULL
536369,2010-01-12 08:35:00,Debit Card,13047,NULL
536370,2010-01-12 08:45:00,Credit Card,12583,NULL
536371,2010-01-12 09:00:00,Cash,13748,NULL
536372,2010-01-12 09:01:00,E-wallet,17850,NULL
536373,2010-01-12 09:02:00,Cash,17850,NULL
536374,2010-01-12 09:09:00,E-wallet,15100,NULL
536375,2010-01-12 09:32:00,E-wallet,17850,NULL
536376,2010-01-12 09:32:00,Credit Card,15291,NULL
536377,2010-01-12 09:34:00,Debit Card,17850,NULL
536378,2010-01-12 09:37:00,E-wallet,14688,NULL
536380,2010-01-12 09:41:00,Cash,17809,NULL
536381,2010-01-12 09:41:00,E-wallet,15311,NULL
536382,2010-01-12 09:45:00,E-wallet,16098,NULL
536384,2010-01-12 09:53:00,E-wallet,18074,NULL
536385,2010-01-12 09:56:00,Credit Card,17420,NULL
536386,2010-01-12 09:57:00,Credit Card,16029,NULL
536387,2010-01-12 09:58:00,E-wallet,16029,NULL
536388,2010-01-12 09:59:00,Cash,16250,NULL
536389,2010-01-12 10:03:00,Credit Card,12431,NULL
536390,2010-01-12 10:19:00,Debit Card,17511,NULL
536392,2010-01-12 10:29:00,Cash,13705,NULL
536393,2010-01-12 10:37:00,Debit Card,13747,NULL
536394,2010-01-12 10:39:00,E-wallet,13408,NULL
536395,2010-01-12 10:47:00,Cash,13767,NULL
536396,2010-01-12 10:51:00,Cash,17850,NULL
536397,2010-01-12 10:51:00,Credit Card,17924,NULL
536398,2010-01-12 10:52:00,Debit Card,13448,NULL
536399,2010-01-12 10:52:00,Debit Card,17850,NULL
536400,2010-01-12 10:53:00,E-wallet,13448,NULL
536401,2010-01-12 11:21:00,Credit Card,15862,NULL
536402,2010-01-12 11:22:00,E-wallet,15513,NULL
536403,2010-01-12 11:27:00,Credit Card,12791,NULL
536404,2010-01-12 11:29:00,Cash,16218,NULL
536405,2010-01-12 11:32:00,E-wallet,14045,NULL
536406,2010-01-12 11:33:00,E-wallet,17850,NULL
536407,2010-01-12 11:34:00,Debit Card,17850,NULL
536408,2010-01-12 11:41:00,Debit Card,14307,NULL
536409,2010-01-12 11:45:00,Debit Card,17908,NULL
